4, NIGHTMARE ALLEY   , 19 janvier 2022 ,Certaines scènes violentes sont susceptibles de heurter un jeune public.,Guillermo del Toro,"Bradley Cooper, Cate Blanchett, Toni Collette","Alors qu’il traverse une mauvaise passe, le charismatique Stanton Carlisle débarque dans une foire itinérante. Initié au mentalisme, il voit là un moyen de décrocher son ticket pour le succès et décide d’arnaquer l’élite de la bonne société new-yorkaise des années 40."
0, TROIS FOIS RIEN   , 16 mars 2022 , Comédie   (1h34)  ,Nadège Loiseau,"Philippe Rebbot, Antoine Bertrand, Côme Levin","Brindille, Casquette et La Flèche vivent au jour le jour. Mais leur situation précaire devrait changer du tout au tout le jour où ils gagnent au Loto. Encore faut-il pouvoir encaisser l’argent, car sans domicile, pas de carte d’identité à jour et sans compte bancaire, pas de paiement !"
4, HARRY POTTER 4 - ET LA COUPE DE FEU   , 30 novembre 2005 , Fantastique   (2h37)  ,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint","La quatrième année à l'école de Poudlard est marquée par le "" Tournoi des trois sorciers "". Les participants sont choisis par la fameuse "" Coupe de Feu "" qui est à l'origine d'un scandale. Elle sélectionne Harry Potter, alors qu'il n'a pas l'âge légal requis ! Accusé de tricherie et mis à mal par une série d'épreuves physiques de plus en plus difficiles, Harry sera enfin confronté à "" Celui-dont-on-ne-doit-pas-prononcer-le-nom ""..."
4, LE BOSSU DE NOTRE-DAME   , 27 novembre 1996 ," Famille, Drame, Animation   (1h29)  ","Gary Trousdale, Kirk Wise",,"En l'an de grâce 1482 à Paris, Quasimodo, jeune orphelin contrefait, est le sonneur de Notre-Dame. Il vit reclus dans le clocher sous la férule du puissant juge Frollo, son maître..."
3, VIENS JE T'EMMENE   , 02 mars 2022 ,Plusieurs scènes de sexe crues sont susceptibles de choquer un jeune public.,Alain Guiraudie,"Jean-Charles Clichet, Noémie Lvovsky, Iliès Kadri","A Clermont-Ferrand, Médéric tombe amoureux d’Isadora, une prostituée de 50 ans, mais elle est mariée. Alors que le centre-ville est le théâtre d’une attaque terroriste, Selim, un jeune sans-abri se réfugie dans l’immeuble de Médéric provoquant une paranoïa collective."
5, PRINCESSE MONONOKE   , 12 janvier 2000 ," Drame, Animation   (2h12)  ",Hayao Miyazaki,,"Japon, durant l'ère Muromachi (1333-1568). Au nord de l'archipel vit une tribu pacifique, les Emishi, dont le futur chef est le jeune prince Ashitaka. Blessé par un sanglier possédé par une divinité néfaste qui le condamne à mort, il doit partir vers l'Orient à la recherche du dieu-cerf qui, seul, peut lever la malédiction. Au bout d'un long voyage semé d'embûches, il tombe sur le village des Tatara. Il y rencontrera San, surnommée ""Princesse Mononoké"", qui le guidera vers le dieu-cerf."
5, MULAN   , 25 novembre 1998 ," Aventure, Animation   (1h29)  ","Tony Bancroft, Barry Cook",,"En Chine, à une époque où les femmes étaient confinées à des tâches subalternes, une jeune fille se déguise en homme pour pouvoir combattre, à la place de son père, les barbares qui ont envahi son pays..."
4, H6   , 02 février 2022 , Documentaire   (1h55)  ,Ye Ye,,Le destin de cinq familles se joue à l’hôpital N°6 de Shanghai. A travers leurs histoires croisées se dessine un portrait de la Chine d’aujourd’hui entre culture traditionnelle et modernité.
0, EN CORPS   , 30 mars 2022 , Comédie Dramatique   (2h00)  ,Cédric Klapisch,"Marion Barbeau, Hofesh Shechter, Denis Podalydès","Elise, 26 ans est une grande danseuse classique. Elle se blesse pendant un spectacle et apprend qu’elle ne pourra plus danser. Dès lors sa vie va être bouleversée, Elise va devoir apprendre à se réparer… Entre Paris et la Bretagne, au gré des rencontres et des expériences, des déceptions et des espoirs, Elise va se rapprocher d’une compagnie de danse contemporaine. Cette nouvelle façon de danser va lui permettre de retrouver un nouvel élan et aussi une nouvelle façon de vivre."
4, TOUS EN SCENE 2   , 22 décembre 2021 ," Famille, Comédie Musicale, Animation   (1h50)  ",Garth Jennings,,Buster Moon et sa troupe de bêtes de scène voient encore plus grand avec un spectacle complètement fou. Ils n’ont qu’un seul problème : persuader la star la plus anti sociale que le monde ait jamais connu de remonter sur scène avec eux.
